"IDكودالصيانة","رقم الشاسية","تاريخ الصيانة","عداد اسود","عداد الوان","بيان الاصلاح","المهندس","قطع الغيار المطوبة","Field1"
"293","W542J700538","8/28/2022 12:00:00 AM","629422","388241","تم تغير نصف يونت درام وشفرة","مجدى","الحساب 750 جنية",""
"296","V1404604979","8/28/2022 12:00:00 AM","102054","16909","صيانة للسخان","مجدى","",""
"297","w793p100709","8/28/2022 12:00:00 AM","216446","8664","تم صيانة الوحدات وحل الكود 491","يوسف","",""
"298","m5582800168","8/27/2022 12:00:00 AM","1664462","","تم تغير وحدة الليزر + صيانة الالة","الزهرى","",""
"299","V1404401738","8/29/2022 12:00:00 AM","217484","156327","مطلوب كرونا جانبية + طقم احبار ماليزى","الزهرى","الكرونا 1000 جنية الاحبار1200 جنية",""
"301","K8563901702 ش","8/25/2022 12:00:00 AM","294394","","صيانة الفيدر","شعبان","",""
"302","W492kA01765","8/25/2022 12:00:00 AM","275116","211019","تم ملو حبر بمعرف شركة اسكندرية احمر + ازرق","شعبان","",""
"307","W512J701951","8/29/2022 12:00:00 AM","479349","177279","تم الغاء الفنيشر + حشر في السخان","شعبان","",""
"308","S7214400286","8/29/2022 12:00:00 AM","265194","87543","صيانة دورية","مجدى","",""
"310","G074P300502 ش","8/30/2022 12:00:00 AM","476407","138040","تم تغير حساس الحصيرة + زجاجة الاسود","طارق","",""
"315","L3684302515","8/31/2022 12:00:00 AM","432038","117609","محتاج رأس حبر اسود + بامب اسود + كيس حبراسود","شعبان","",""
"316","W662K301085","8/31/2022 12:00:00 AM","324023","","صيانة دورية + تحصيل 600 جنية قسط","شعبان","",""
"322","S7214100287","7/20/2022 12:00:00 AM","36387","37434","صيانة دورية","مجدى","",""
"324","W914P204603","8/29/2022 12:00:00 AM","109756","","الالة تحتاج طقم تروس","مجدى","",""
"327","W503K400554","8/30/2022 12:00:00 AM","131021","107530","صيانة دورية","مجدى","",""
"328","E235C730036","7/18/2022 12:00:00 AM","1634006","524955","تسليم الالة","مجدى","",""
"333","M6493700000","8/31/2022 12:00:00 AM","552774","","صيانة دورية","مجدى","",""
"334","M6484400216","8/31/2022 12:00:00 AM","270040","","صيانة دورية","مجدى","",""
"340","W512JC01268","8/30/2022 12:00:00 AM","423586","172611","تم عمل صيانة للسخان + وجود قطع في الشيت فلم + صيانة الاسكانر","شعبان","",""
"341","VG67303326","10/23/2024 12:00:00 AM","450609","128710","عداد تسليم الالة","رضا","",""
"342","L8Z5901573","8/29/2022 12:00:00 AM","1334467","","صيانة دورية","رضا","",""
"344","W492KA03580","9/1/2022 12:00:00 AM","279899","110401","صيانة دورية","طارق","تحصيل",""
"348","S9258600096","8/31/2022 12:00:00 AM","222035","","الالة تحتاج كارتيج","رضا","",""
"349","X106P701704","8/31/2022 12:00:00 AM","1998","14296","حبر + شباية","رضا","",""
"350","N4B3405785","8/31/2022 12:00:00 AM","849134","","تم تغير باب الجنب + روال شحن","رضا","مطلوب سخان + يونت درام",""
"351","E175MB30300","8/31/2022 12:00:00 AM","236695","182426","تم تركيب شيت فلم + تجديد عقد الصيانة","مجدى","حساب شيت الفلم  /جنية 1100",""
"352","W804P200039","8/31/2022 12:00:00 AM","30329","7453","تجديد عقد الصيانة","مجدى","",""
"353","W795P700376","8/31/2022 12:00:00 AM","217529","81929","تجديد عقد الصيانة","مجدى","",""
"354","S9958700473","8/31/2022 12:00:00 AM","28372","36860","تجديد عقد الصيانة","مجدى","",""
"355","E234C430210","8/31/2022 12:00:00 AM","1465814","139859","تم ملو حبر","محمد عبدة","",""
"356","w3029401342","8/31/2022 12:00:00 AM","87913","","تم ملو حبر","محمد عبدة","",""
"357","E323M320581","9/1/2022 12:00:00 AM","35648","","تسليم الالة","مجدى","",""
"358","L3684302515","9/1/2022 12:00:00 AM","432047","117610","استبدال بامب اسود + راس حبر اسود + تزويد 100 جرام ديفلبر + ملو حبر اسود","شعبان","",""
"359","s7214101257","9/1/2022 12:00:00 AM","75788","41831","صيانة دورية","شعبان","",""
"373","V7913100397","8/1/2022 12:00:00 AM","946642","","صيانة دورية","مجدى","",""
"379","V1503800749","9/3/2022 12:00:00 AM","139409","151681","الالة تحتاج كرونا جانبية + مجموعة سحب الدرج الاول +  2 حبر اصفر واحمر","مجدى","علي تليفون",""
"380","V4498702503","9/3/2022 12:00:00 AM","145528","","الالة تحتاج روال علوى سخان","مجدى","علي تليفون",""
"381","W905P600657","9/1/2022 12:00:00 AM","154298","","صيانة دورية","مجدى","",""
"383","v9724203927","9/3/2022 12:00:00 AM","123656","50779","صيانة دورية","شعبان","",""
